Location,Area_sqft,Bedroom,Bathroom,Price,Latitude,Longitude,Area,Price_Zone
"Block I, Bashundhara R-A",2400,4,4,42000,23.8206687,90.4396248,Bashundhara R-A,High
"Chandgaon Residential Area, 4 No Chandgaon Ward",1750,3,3,34000,22.3784211,91.8476843,4 No Chandgaon Ward,Medium
"Block F, Aftab Nagar",1350,3,3,22000,23.7641281,90.4466991,Aftab Nagar,Medium
"Nurer Chala, Badda",1200,3,3,22000,23.7968912,90.4325517,Badda,Low
"Block D, Banasree",1500,3,3,30000,23.7619353,90.433141,Banasree,Medium
"VIP Housing Society, South Khulsi",2100,3,3,27000,22.3535227,91.8120481,South Khulsi,Medium
"Pilkhana Road, 7 No. West Sholoshohor Ward",1250,3,3,20000,22.3705919,91.8318233,7 No. West Sholoshohor Ward,Medium
"Sugandha Residential Area, Panchlaish",1400,3,3,28000,22.3644422,91.8324429,Panchlaish,Medium
"Block B, Banasree",1100,3,3,25000,23.7619353,90.433141,Banasree,Medium
"Uttar Badda, Badda",1250,3,3,26000,23.7820433,90.4231228,Badda,Low
"Sector 12, Uttara",1500,3,3,25000,23.8713904,90.380721,Uttara,Medium
"Chandgaon Residential Area, 4 No Chandgaon Ward",1400,3,3,25000,22.3784211,91.8476843,4 No Chandgaon Ward,Medium
"Block F, Aftab Nagar",1350,3,3,22000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block C, Bashundhara R-A",1300,3,3,26000,23.8184723,90.4272477,Bashundhara R-A,High
"Block D, Aftab Nagar",1600,3,3,25000,23.7641281,90.4466991,Aftab Nagar,Medium
"Nikunja 2, Nikunja",720,2,2,20000,23.8318836,90.4178201,Nikunja,Medium
"South Badda, Badda",1200,3,3,32000,23.7753515,90.4225336,Badda,Low
"Block C, Bashundhara R-A",1510,3,3,28000,23.8184723,90.4272477,Bashundhara R-A,High
"Block F, Banasree",1700,3,3,30000,23.7604313,90.4390353,Banasree,Medium
"West Rampura, Rampura",1250,3,3,30000,23.7642132,90.4160527,Rampura,Low
"Sector 12, Uttara",1500,4,4,30000,23.8713904,90.380721,Uttara,Medium
"Block C, Bashundhara R-A",1550,3,3,35000,23.8184723,90.4272477,Bashundhara R-A,High
"PC Culture Housing, Mohammadpur",1350,3,3,27000,23.7680904,90.3518903,Mohammadpur,Medium
"PC Culture Housing, Mohammadpur",1250,3,3,25000,23.7680904,90.3518903,Mohammadpur,Medium
Agargaon,1250,3,3,30000,23.7791954,90.3736584,Agargaon,Medium
"Sector 12, Uttara",1650,3,3,55000,23.8713904,90.380721,Uttara,Medium
"Uttar Badda, Badda",1000,3,3,21000,23.7820433,90.4231228,Badda,Low
"VIP Housing Society, South Khulsi",2100,3,3,27000,22.3535227,91.8120481,South Khulsi,Medium
"Gulshan 2, Gulshan",3400,4,4,140000,23.7947536,90.4143085,Gulshan,High
"VIP Housing Society, South Khulsi",2100,3,3,27000,22.3535227,91.8120481,South Khulsi,Medium
"VIP Housing Society, South Khulsi",2100,3,3,27000,22.3535227,91.8120481,South Khulsi,Medium
"Shantibag, Malibagh",1300,3,3,35000,23.7433359,90.4191184,Malibagh,Medium
"Block C, Bashundhara R-A",1150,3,3,23000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 1, Gulshan",2500,3,3,90000,23.7820624,90.4160527,Gulshan,High
"Block E, Banasree",1800,3,3,35000,23.7619353,90.433141,Banasree,Medium
"Sector 14, Uttara",1100,2,2,26000,23.8676564,90.3871961,Uttara,Medium
"Block J, Banasree",1400,3,3,28000,23.7619353,90.433141,Banasree,Medium
"Sector 4, Uttara",1700,3,3,80000,23.8624077,90.4042719,Uttara,Medium
"Nasirabad Properties Residential Area, Khulshi",1600,3,3,30000,22.3586885,91.8141603,Khulshi,Low
"West Rampura, Rampura",1000,2,2,23000,23.7642132,90.4160527,Rampura,Low
"West Rampura, Rampura",900,2,2,25000,23.7642132,90.4160527,Rampura,Low
"Polytechnic, Bayazid",1800,3,3,25000,22.3891916,91.8172069,Bayazid,Medium
"Block I, Bashundhara R-A",1700,4,4,42000,23.8206687,90.4396248,Bashundhara R-A,High
"Block B, Banasree",1050,2,2,20000,23.7619353,90.433141,Banasree,Medium
"Block C, Bashundhara R-A",1580,4,4,42000,23.8184723,90.4272477,Bashundhara R-A,High
"Block M, Banasree",1860,4,4,35000,23.7619353,90.433141,Banasree,Medium
"Sector 4, Uttara",2300,4,4,60000,23.8624077,90.4042719,Uttara,Medium
"Block F, Bashundhara R-A",1550,3,3,40000,23.820682,90.4349092,Bashundhara R-A,High
"Block C, Bashundhara R-A",1000,3,3,40000,23.8184723,90.4272477,Bashundhara R-A,High
"Uttar Badda, Badda",1250,2,2,22000,23.7820433,90.4231228,Badda,Low
"Sector 11, Uttara",2500,4,4,60000,23.8773155,90.3901397,Uttara,Medium
"Uttar Badda, Badda",1250,2,2,22000,23.7820433,90.4231228,Badda,Low
"Outer Circular Road, Maghbazar",1650,4,4,40000,23.7485069,90.408629,Maghbazar,Medium
"Block I, Bashundhara R-A",1700,4,4,37000,23.8206687,90.4396248,Bashundhara R-A,High
"Gulshan 2, Gulshan",6800,4,4,650000,23.7947536,90.4143085,Gulshan,High
"East Rampura, Rampura",1200,2,2,20000,23.7582378,90.4254798,Rampura,Low
"Block K, Baridhara",4000,4,4,320000,23.8028731,90.420766,Baridhara,High
"Uttar Badda, Badda",1250,2,2,22000,23.7820433,90.4231228,Badda,Low
"Block C, Bashundhara R-A",3500,4,4,110000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 1, Gulshan",2124,3,3,110000,23.7820624,90.4160527,Gulshan,High
"Chadra Nagar, Bayazid",1350,3,3,20000,22.3766168,91.806435,Bayazid,Medium
"Block C, Bashundhara R-A",1456,3,3,35000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 1, Gulshan",2430,3,3,130000,23.7820624,90.4160527,Gulshan,High
"Block K, Baridhara",2300,4,4,130000,23.8028731,90.420766,Baridhara,High
"Block L, Bashundhara R-A",1500,3,3,25000,23.8206417,90.4490575,Bashundhara R-A,High
"Block D, Bashundhara R-A",2000,3,3,45000,23.8154814,90.433141,Bashundhara R-A,High
"Block L, Bashundhara R-A",1500,3,3,25000,23.8206417,90.4490575,Bashundhara R-A,High
"North Khulshi, Khulshi",1800,4,4,70000,22.3589004,91.8125895,Khulshi,Low
"Block A, Banasree",1764,4,4,40000,23.7645587,90.4257745,Banasree,Medium
"Khilbari Tek, Badda",1100,3,3,20000,23.7916903,90.4307836,Badda,Low
"Sector 9, Uttara",950,2,2,55000,23.8772975,90.3972052,Uttara,Medium
"Sector 12, Uttara",2300,3,3,55000,23.8713904,90.380721,Uttara,Medium
"South Khulshi, Khulshi",1800,4,4,55000,22.3587138,91.8108977,Khulshi,Low
"Block K, Baridhara",4000,4,4,380000,23.8028731,90.420766,Baridhara,High
"Shahjadpur, Badda",1600,3,3,30000,23.7917066,90.4248906,Badda,Low
"Block D, Bashundhara R-A",2000,3,3,45000,23.8154814,90.433141,Bashundhara R-A,High
"Sector 4, Uttara",2200,4,4,60000,23.8624077,90.4042719,Uttara,Medium
"Block E, Banasree",1250,3,3,24000,23.7619353,90.433141,Banasree,Medium
"Nikunja 2, Nikunja",750,2,2,21000,23.8318836,90.4178201,Nikunja,Medium
"Block C, Bashundhara R-A",4350,4,4,350000,23.8184723,90.4272477,Bashundhara R-A,High
"Block K, Baridhara",3000,4,4,190000,23.8028731,90.420766,Baridhara,High
"Block C, Bashundhara R-A",1400,3,3,23000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1100,3,3,27000,23.8184723,90.4272477,Bashundhara R-A,High
"Block F, Banasree",1500,3,3,30000,23.7604313,90.4390353,Banasree,Medium
"Block C, Bashundhara R-A",3300,5,5,100000,23.8184723,90.4272477,Bashundhara R-A,High
"North Khulshi, Khulshi",3600,4,4,120000,22.3589004,91.8125895,Khulshi,Low
"Block C, Bashundhara R-A",1600,3,3,28000,23.8184723,90.4272477,Bashundhara R-A,High
"Block K, Baridhara",2300,3,3,130000,23.8028731,90.420766,Baridhara,High
"Khilbari Tek, Badda",1200,3,3,20000,23.7916903,90.4307836,Badda,Low
"Block D, Bashundhara R-A",2000,3,3,45000,23.8154814,90.433141,Bashundhara R-A,High
"Sector 12, Uttara",2350,4,4,60000,23.8713904,90.380721,Uttara,Medium
"Gulshan 2, Gulshan",5400,5,5,420000,23.7947536,90.4143085,Gulshan,High
"Block K, Baridhara",1700,3,3,95000,23.8028731,90.420766,Baridhara,High
"Block K, Baridhara",1700,3,3,80000,23.8028731,90.420766,Baridhara,High
"Block K, Baridhara",1700,3,3,90000,23.8028731,90.420766,Baridhara,High
"Sector 10, Uttara",1400,3,3,25000,23.884012,90.3883735,Uttara,Medium
"Block C, Bashundhara R-A",1500,3,3,45000,23.8184723,90.4272477,Bashundhara R-A,High
"Sector 7, Uttara",1800,4,4,65000,23.871349,90.3972052,Uttara,Medium
"South Khulshi, Khulshi",1500,3,3,26000,22.3587138,91.8108977,Khulshi,Low
"1st Colony, Mirpur",1500,3,3,30000,23.7848367,90.3463031,Mirpur,Low
"West Rampura, Rampura",2300,5,5,40000,23.7642132,90.4160527,Rampura,Low
"Block F, Bashundhara R-A",2300,4,4,50000,23.820682,90.4349092,Bashundhara R-A,High
"Tayab Bag R/A, 7 No. West Sholoshohor Ward",1900,4,4,25000,22.374104,91.8342716,7 No. West Sholoshohor Ward,Medium
"Gulshan 2, Gulshan",4000,4,4,400000,23.7947536,90.4143085,Gulshan,High
"Block C, Bashundhara R-A",1700,4,4,55000,23.8184723,90.4272477,Bashundhara R-A,High
"PC Culture Housing, Mohammadpur",850,2,2,20000,23.7680904,90.3518903,Mohammadpur,Medium
"Block C, Bashundhara R-A",2200,3,3,26000,23.8184723,90.4272477,Bashundhara R-A,High
"South Khulshi, Khulshi",1500,3,3,26000,22.3587138,91.8108977,Khulshi,Low
"South Khulshi, Khulshi",1500,3,3,26000,22.3587138,91.8108977,Khulshi,Low
"Gulshan 2, Gulshan",5400,5,5,420000,23.7947536,90.4143085,Gulshan,High
"Road No 1, Jalalabad Housing Society",1500,3,3,20000,22.3707543,91.8007579,Jalalabad Housing Society,Medium
"Sector 12, Uttara",2373,4,4,75000,23.8713904,90.380721,Uttara,Medium
"North Khulshi, Khulshi",3200,4,4,60000,22.3589004,91.8125895,Khulshi,Low
"Iqbal Road, Mohammadpur",2088,4,4,70000,23.7622253,90.3683605,Mohammadpur,Medium
"Block C, Bashundhara R-A",2500,4,4,45000,23.8184723,90.4272477,Bashundhara R-A,High
"Block H, Bashundhara R-A",1550,3,3,30000,23.8258759,90.4390353,Bashundhara R-A,High
"PC Culture Housing, Mohammadpur",1600,3,3,40000,23.7680904,90.3518903,Mohammadpur,Medium
"Road No 10, Baridhara",3000,4,4,140000,23.8059523,90.4188434,Baridhara,High
"Gulshan 2, Gulshan",2400,4,4,150000,23.7947536,90.4143085,Gulshan,High
"Gulshan 2, Gulshan",3500,4,4,260000,23.7947536,90.4143085,Gulshan,High
"Block K, Baridhara",4000,4,4,400000,23.8028731,90.420766,Baridhara,High
"Block C, Bashundhara R-A",2600,4,4,110000,23.8184723,90.4272477,Bashundhara R-A,High
