Location,Area_sqft,Bedroom,Bathroom,Price,Latitude,Longitude,Location_Label,Price_Zone,Price_Zone_Num,Distance_to_Center,Price_per_sqft,BedBath_Ratio,Price_per_Bedroom,Size_Category,Location_Cluster
"Section 1, Mirpur",1200,3,3,8400000,23.8015639,90.3489496,mirpur,Medium,1,0.06414805362105391,7000.0,0.75,2100000.0,Medium,1
"Purba Jurain, Shyampur",1695,3,3,8815000,23.6822807,90.4573131,shyampur,Low,0,0.13563611283172478,5200.589970501475,0.75,2203750.0,Large,1
"Vashantek, Cantonment",1800,4,4,9500000,23.8061595,90.3887548,cantonment,Low,0,0.0241034906868217,5277.777777777777,0.8,1900000.0,Large,1
"Shagufta New Road, Mirpur",1405,3,3,10959000,23.8302033,90.3768329,mirpur,Medium,1,0.040844624778541054,7800.0,0.75,2739750.0,Medium,1
"Block I, Bashundhara R-A",2370,4,4,27000000,23.8206687,90.43962479999999,bashundhara r-a,Medium,1,0.02903902055389801,11392.405063291139,0.8,5400000.0,Large,0
"Sector 11, Uttara",1600,4,4,18000000,23.8773155,90.39013969999999,uttara,High,2,0.07064743630408771,11250.0,0.8,3600000.0,Large,0
"Uttar Badda, Badda",1456,3,3,10500000,23.7820433,90.4231228,badda,Low,0,0.030187496993459986,7211.538461538462,0.75,2625000.0,Medium,1
"Darussalam, Mirpur",1485,3,3,8167000,23.7784999,90.35306659999999,mirpur,Medium,1,0.06740604865715305,5499.6632996633,0.75,2041750.0,Medium,1
"Ahmed Nagar, Mirpur",1100,3,3,5000000,23.793741,90.35503039999999,mirpur,Medium,1,0.05980765339954874,4545.454545454545,0.75,1250000.0,Medium,1
"Darussalam, Mirpur",1390,3,3,7665000,23.7784999,90.35306659999999,mirpur,Medium,1,0.06740604865715305,5514.3884892086335,0.75,1916250.0,Medium,1
"East Monipur, Mirpur",1280,2,2,5000000,23.8009532,90.3717459,mirpur,Medium,1,0.04181219124908583,3906.25,0.6666666666666666,1666666.6666666667,Medium,1
"Sector 12, Uttara",1530,4,4,10700000,23.8713904,90.380721,uttara,High,2,0.06886175871381538,6993.464052287582,0.8,2140000.0,Large,1
"Bochila, Mohammadpur",1400,3,3,5680000,23.7465311,90.34777330000001,mohammadpur,Medium,1,0.09086263423485917,4057.1428571428573,0.75,1420000.0,Medium,1
"Rasdia Mouza, Uttara",1195,3,3,14000000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,11715.481171548117,0.75,3500000.0,Medium,0
"Rasdia Mouza, Uttara",2802,5,5,38000000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,13561.741613133476,0.8333333333333334,6333333.333333333,Large,3
"Baitul Aman Housing Society, Adabor",1200,3,3,6350000,23.7734642,90.3580005,adabor,Low,0,0.0657804808578444,5291.666666666667,0.75,1587500.0,Medium,1
"Block B, Bashundhara R-A",2420,4,4,24000000,23.8140104,90.4272477,bashundhara r-a,Medium,1,0.01520729178552254,9917.355371900827,0.8,4800000.0,Large,0
"Tongi, Gazipur Sadar Upazila",1200,3,3,4500000,23.889974,90.40734719999999,gazipur sadar upazila,Low,0,0.07984045104982557,3750.0,0.75,1125000.0,Medium,1
"Middle Paikpara, Mirpur",1080,3,3,4320000,23.7903857,90.35894890000002,mirpur,Medium,1,0.057134049880064604,4000.0,0.75,1080000.0,Medium,1
"Rasdia Mouza, Uttara",632,2,2,4424000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,7000.0,0.6666666666666666,1474666.6666666667,Small,1
"Pirerbag, Mirpur",950,2,2,3500000,23.7911115,90.3665972,mirpur,Medium,1,0.049752040964059545,3684.2105263157896,0.6666666666666666,1166666.6666666667,Medium,1
"Darussalam, Mirpur",1485,3,3,8167000,23.7784999,90.35306659999999,mirpur,Medium,1,0.06740604865715305,5499.6632996633,0.75,2041750.0,Medium,1
"PC Culture Housing, Mohammadpur",1560,4,4,10000000,23.7680904,90.3518903,mohammadpur,Medium,1,0.07385923142201206,6410.25641025641,0.8,2000000.0,Large,1
"Sector 7, Uttara",2500,4,4,22000000,23.871349,90.3972052,uttara,High,2,0.06293577129136818,8800.0,0.8,4400000.0,Large,0
"Rasdia Mouza, Uttara",1667,4,4,22500000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,13497.300539892021,0.8,4500000.0,Large,0
"Rasdia Mouza, Uttara",900,2,2,8500000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,9444.444444444445,0.6666666666666666,2833333.3333333335,Medium,1
"Rasdia Mouza, Uttara",2800,4,4,44000000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,15714.285714285714,0.8,8800000.0,Large,3
"Baitul Aman Housing Society, Adabor",1300,3,3,6850000,23.7734642,90.3580005,adabor,Low,0,0.0657804808578444,5269.2307692307695,0.75,1712500.0,Medium,1
"Pirerbag, Mirpur",1700,3,3,7200000,23.7911115,90.3665972,mirpur,Medium,1,0.049752040964059545,4235.294117647059,0.75,1800000.0,Large,1
"Uttar Badda, Badda",1330,3,3,9500000,23.7820433,90.4231228,badda,Low,0,0.030187496993459986,7142.857142857143,0.75,2375000.0,Medium,1
"Darussalam, Mirpur",1485,3,3,8167000,23.7784999,90.35306659999999,mirpur,Medium,1,0.06740604865715305,5499.6632996633,0.75,2041750.0,Medium,1
"Darussalam, Mirpur",1485,3,3,8167000,23.7784999,90.35306659999999,mirpur,Medium,1,0.06740604865715305,5499.6632996633,0.75,2041750.0,Medium,1
"Middle Badda, Badda",1170,3,3,11200000,23.7798106,90.42371209999999,badda,Low,0,0.0324856075635027,9572.649572649572,0.75,2800000.0,Medium,1
"Rayer Bazaar, Hazaribag",1010,3,3,5500000,23.7435238,90.3618904,hazaribag,Low,0,0.0837877825139236,5445.544554455446,0.75,1375000.0,Medium,1
"Rasdia Mouza, Uttara",750,2,2,5500000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,7333.333333333333,0.6666666666666666,1833333.3333333333,Small,1
"West Agargaon, Agargaon",1133,3,3,6231500,23.7807183,90.3693678,agargaon,Low,0,0.05230166012402525,5500.0,0.75,1557875.0,Medium,1
"Sector 18, Uttara",1654,4,4,8500000,23.8550847,90.3583606,uttara,High,2,0.0702619668558277,5139.056831922612,0.8,1700000.0,Large,1
"Tongi, Gazipur Sadar Upazila",1050,3,3,3990000,23.889974,90.40734719999999,gazipur sadar upazila,Low,0,0.07984045104982557,3800.0,0.75,997500.0,Medium,1
"Block A, Bashundhara R-A",1580,4,4,10000000,23.8136688,90.42957170000001,bashundhara r-a,Medium,1,0.017400912456838256,6329.113924050633,0.8,2000000.0,Large,1
"Block J, Bashundhara R-A",1310,4,4,10000000,23.8228913,90.4425723,bashundhara r-a,Medium,1,0.03260190275091242,7633.587786259542,0.8,2000000.0,Medium,1
"26 No. North Halishahar Ward, Halishahar",1270,3,3,5334000,22.3287809,91.7745556,halishahar,Low,0,2.012484608924049,4200.0,0.75,1333500.0,Medium,1
"Faydabad, Dakshin Khan",1330,3,3,7200000,23.8772544,90.41369619999999,dakshin khan,Low,0,0.06696508473674931,5413.533834586467,0.75,1800000.0,Medium,1
"26 No. North Halishahar Ward, Halishahar",1270,3,3,5533400,22.3287809,91.7745556,halishahar,Low,0,2.012484608924049,4357.007874015748,0.75,1383350.0,Medium,1
"26 No. North Halishahar Ward, Halishahar",1320,3,3,5544000,22.3287809,91.7745556,halishahar,Low,0,2.012484608924049,4200.0,0.75,1386000.0,Medium,1
"Dakshin Kattali, 11 No. South Kattali Ward",825,3,3,3700000,22.3509714,91.7709217,11 no. south kattali ward,Low,0,1.9937275334932003,4484.848484848485,0.75,925000.0,Medium,1
"Mirpur DOHS, Mirpur",2200,4,4,20000000,23.836468,90.36953919999999,mirpur,Medium,1,0.05030302735064935,9090.90909090909,0.8,4000000.0,Large,0
